address,tagname,description,SCADA_tagname,type,source
481,Sterilizer_ADDR_481,,[],DINT,PLC
482,Sterilizer_ADDR_482,,[],DINT,PLC
489.15,CAUSTIC_FLOW_TARGET_REACHED,"""Caustic Flow Target Reached""",[],BOOL,PLC
490.00,RINSE_STOP_TRIGGER,"""Conductivity less than rinse stop setpoint""",[],BOOL,PLC
490.01,CAUSTIC_PUMP_STOP_TRIGGER,"""Caustic Pump Stop Trigger""",[],BOOL,PLC
490.02,ADD_MORE_CAUSTIC,"""Add more Caustic""",[],BOOL,PLC
490.03,ADD_MORE_SANITIZER,"""Add more Acid""",[],BOOL,PLC
490.04,STEP_ADVANCE,"""STEP ADVANCE""",[],BOOL,PLC
490.06,STER_CIP_COND1_DI,"""Sterilizer CIP Conductivity < 80mS""",['STER_CIP_COND1_DI'],BOOL,BOTH
490.09,PRERINSE_ADVANCE,"""PreRinse Advance""",[],BOOL,PLC
490.13,P116_CIP_INHIBIT,"""P116 CIP Inhibit""",[],BOOL,PLC
490.14,P116_1ST_CIP,"""P116 1st CIP""",[],BOOL,PLC
491.00,CIP_MANUAL_PB,"""Manual CIP Selection PB""",[],BOOL,PLC
491.01,CIP_AUTO_PB,"""Auto CIP Selection PB""",[],BOOL,PLC
491.02,CIP_AUTO_MONTHLY_PB,"""Auto Monthly CIP Selection PB""",[],BOOL,PLC
491.03,CIP_AUTO_SHORT_PB,"""Auto Short CIP Selection PB""",[],BOOL,PLC
492.00,CIP_MANUAL_SELECTED,"""Manual CIP Selected""",[],BOOL,PLC
492.01,CIP_AUTO_SELECTED,"""Auto CIP Selected""",[],BOOL,PLC
492.02,CIP_AUTO_MONTHLY_SELECTED,"""Auto Monthly CIP Selected""",[],BOOL,PLC
492.03,CIP_AUTO_SHORT_SELECTED,"""Auto Short CIP Selected""",[],BOOL,PLC
493.00,STEP_REPEAT_PULSE,"""STEP REPEAT PULSE""",[],BOOL,PLC
493.01,STEP_REPEAT,"""STEP REPEAT""",[],BOOL,PLC
494.01,CIP_TOO_LONG_BIT,"""CIP TOO LONG BIT TO SCADA""",[],BOOL,PLC
5.00,LA500,"""ALARM ACKNOWLEDGE LAMP""",[],BOOL,PLC
5.01,STER_PROCESS_START_DI,"""PROCESS BUTTON LAMP""",['STER_PROCESS_START_DI'],BOOL,BOTH
5.02,LA502,"""CIP BUTTON LAMP""",[],BOOL,PLC
5.03,STER_EXCEPTION_PROD_PURGE_DI,"""PRODUCTION PURGE - SUSPEND ON""","['STER_PROD_PURGE_DI', 'STER_EXCEPTION_PROD_PURGE_DI']",BOOL,BOTH
5.04,LA504,"""STERILE TANK HOT WATER VALVE LAMP""",[],BOOL,PLC
5.05,LA505,"""VOTATOR FEED PUMP EAST LAMP""",[],BOOL,PLC
5.06,STER_IND_P118,"""VOTATOR FEED PUMP WEST LAMP""",['STER_IND_P118'],BOOL,BOTH
5.07,STER_IND_VAC_LIQ_LVL,"""VACUUM/LIQUID LEVEL LAMP""",['STER_IND_VAC_LIQ_LVL'],BOOL,BOTH
5.08,STER_IND_WATER_STERILIZATION,"""WATER STERILIZATION TRANSITION LAMP""",['STER_IND_WATER_STERILIZATION'],BOOL,BOTH
5.09,STER_EXCEPTION_STER_TRANS_DI,"""STER TRANSITION IND LIGHT - SUSPEND OFF""","['STER_EXCEPTION_STER_TRANS_DI', 'STER_IND_STER_TRANSITION']",BOOL,BOTH
5.10,STER_IND_GEL_STERILIZATION,"""GELATIN STERILIZATION LAMP""",['STER_IND_GEL_STERILIZATION'],BOOL,BOTH
5.11,STER_IND_WATER_RINSE1,"""WATER RINSE #1 LAMP""",['STER_IND_WATER_RINSE1'],BOOL,BOTH
5.12,STER_IND_CAUSTIC,"""CAUSTIC/DETERGENT LAMP""",['STER_IND_CAUSTIC'],BOOL,BOTH
5.13,STER_IND_WATER_RINSE2,"""WATER RINSE #2 LAMP""",['STER_IND_WATER_RINSE2'],BOOL,BOTH
5.14,LA514,"""BALANCE TANK LEVEL ALARM LAMP""",[],BOOL,PLC
5.15,LA515,"""SEPARATOR LEVEL ALARM LAMP""",[],BOOL,PLC
500.00,BTLOW,"""B.T > 10%""",[],BOOL,PLC
