Type,TAG,NEXT BLK,DESCRIPTION,Full Address,Clean_Address_BCD,Clean_Address,New_Address
DI,N_PRE_PRT2_CHP_IND1,,(NGC)OPEN V2008,OMR_FINS.EXT.H202.7,H202.7,H202.7,EXT_PRT2_CHP_IND1
DI,STER_START,STER_START_TIME,,OMR_FINS.EXT.H13.4,H13.4,H13.4,EXT_STERILIZER
DI,N_PRE_PRT2_CHP_IND1_DI,,OPEN V2008,OMR_FINS.EXT.H202.7,H202.7,H202.7,EXT_PRT2_CHP_IND1
DI,N_PRE_PRT2_DRAIN_IND,,(NGC)PRT2 Drain Indicator,OMR_FINS.EXT.H201.9,H201.9,H201.9,EXT_PRT2_DRAIN_IND
DI,N_PRE_PRT2_DRAIN_IND_DI,,PRT2 Drain Indicator,OMR_FINS.EXT.H201.9,H201.9,H201.9,EXT_PRT2_DRAIN_IND
DI,N_PRE_PRT2_DRAIN_REQ,,(NGC)PRT2 Drain Request,OMR_FINS.EXT.H201.8,H201.8,H201.8,EXT_PRT2_DRAIN_REQ
DI,N_PRE_PRT2_DRAIN_REQ_DI,,PRT2 Drain Request,OMR_FINS.EXT.H201.8,H201.8,H201.8,EXT_PRT2_DRAIN_REQ
DI,N_PRE_PRT2_DROP_EXT_AUTO,,(NGC)Sequence Auto,OMR_FINS.EXT.H201.4,H201.4,H201.4,EXT_PRT2_DROP_EXT_AUTO
DI,N_PRE_POSTW3_3_CAUSTIC_ENABLE,,(NGC)POSTW3_3_CAUSTIC_ENABLE,OMR_FINS.EXT.H308.6,H308.6,H308.6,EXT_PRT3_POSTWIII_CAUSTIC_ENABLE
DI,N_PRE_PRT2_DROP_EXT_AUTO_DI,,Sequence Auto,OMR_FINS.EXT.H201.4,H201.4,H201.4,EXT_PRT2_DROP_EXT_AUTO
DI,N_PRE_V4003_ZC_DI,,PRT4 Spray Ball Cold Water Valve  Output,OMR_FINS.EXT.W15.4,W15.4,W15.4,EXT_N_PRE_V4003_ZC
DI,N_PRE_PRT2_DROP_EXT_STOP,,(NGC)Sequence Stop,OMR_FINS.EXT.H201.12,H201.12,H201.12,EXT_PRT2_DROP_EXT_STOP
DI,N_PRE_PRT2_DROP_EXT_STOP_DI,,Sequence Stop,OMR_FINS.EXT.H201.12,H201.12,H201.12,EXT_PRT2_DROP_EXT_STOP
DI,N_PRE_PRT2_DROP_STOP,,(NGC)Sequence Stop,OMR_FINS.EXT.H200.2,H200.2,H200.2,EXT_N_PRE_PRT2_DROP_STOP
DI,N_PRE_PRT2_DROP_STOP_DI,,Sequence Stop,OMR_FINS.EXT.H200.2,H200.2,H200.2,EXT_N_PRE_PRT2_DROP_STOP
DI,N_PRE_PRT2_POSTW4_AUTO,,(NGC)Sequence Auto,OMR_FINS.EXT.H208.1,H208.1,H208.1,EXT_PRT2_POSTW4_AUTO
DI,N_PRE_PRT2_POSTW4_AUTO_DI,,Sequence Auto,OMR_FINS.EXT.H208.1,H208.1,H208.1,EXT_PRT2_POSTW4_AUTO
DI,N_PRE_PRT2_POSTWIII_AUTO,,(NGC)Sequence Auto,OMR_FINS.EXT.H201.1,H201.1,H201.1,EXT_PRT2_POSTWIII_AUTO
DI,N_PRE_PRT2_POSTWIII_AUTO_DI,,Sequence Auto,OMR_FINS.EXT.H201.1,H201.1,H201.1,EXT_PRT2_POSTWIII_AUTO
DI,N_PRE_PRT2_POSTWII_AUTO,,(NGC)Sequence Auto,OMR_FINS.EXT.H200.14,H200.14,H200.14,EXT_PRT2_POSTWII_AUTO
